y,x,shift,latitude,offense,address,method,longitude,severity
134392,405823,DAY,38.87734659632140,BURGLARY,1100 - 1199 BLOCK OF 46TH PLACE SE,OTHERS,-76.93288496758120,1.5
144596,397769,EVENING,38.96927969531280,THEFT/OTHER,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,OTHERS,-77.02573724707290,1.2
136884.63,397965.26,EVENING,38.89981176227350,THEFT/OTHER,800 - 899 BLOCK OF H STREET NW,OTHERS,-77.02345681345510,1.2
136963,398508,EVENING,38.90052379217540,THEFT/OTHER,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,OTHERS,-77.01718969937970,1.2
137052.47001262,400437.09999836,EVENING,38.90132597136950,THEFT F/AUTO,8TH STREET NE AND I STREET NE,OTHERS,-76.99496093326060,1
134783,401138,EVENING,38.88088534563430,THEFT F/AUTO,1310 - 1499 BLOCK OF PENNSYLVANIA AVENUE SE,OTHERS,-76.98688166488970,1
138634,397329,EVENING,38.91557250436050,THEFT F/AUTO,1300 - 1399 BLOCK OF T STREET NW,OTHERS,-77.03078861063590,1
134664,401147,EVENING,38.87981360536380,THEFT/OTHER,1350 - 1399 BLOCK OF POTOMAC AVENUE SE,OTHERS,-76.98677398856470,1.2
137856,398651,EVENING,38.90856996585920,BURGLARY,300 - 399 BLOCK OF O STREET NW,OTHERS,-77.01554241504850,1.5
134783,401138,EVENING,38.88088534563430,THEFT F/AUTO,1310 - 1499 BLOCK OF PENNSYLVANIA AVENUE SE,OTHERS,-76.98688166488970,1
136006,405692,EVENING,38.89188931621490,ASSAULT W/DANGEROUS WEAPON,4700 - 4729 BLOCK OF BLAINE STREET NE,OTHERS,-76.93438413933360,3
136293,404370,EVENING,38.89447438632490,THEFT/OTHER,3904 - 3999 BLOCK OF MINNESOTA AVENUE NE,OTHERS,-76.94962541233170,1.2
138855,396834,EVENING,38.91755836791640,BURGLARY,2000 - 2099 BLOCK OF 16TH STREET NW,OTHERS,-77.03650090336720,1.5
